250,150,0,0,0,0
250.749,134.525,0,0,0,0
252.99,118.2,0,0,0,0
256.7,101.172,0,0,0,0
261.841,83.5857,0,0,0,0
268.363,65.58,0,0,0,0
276.2,47.2847,0,0,0,0
285.274,28.8179,0,0,0,0
295.494,10.2814,0,0,0,0
306.759,-8.24523,0,0,0,0
318.955,-26.7147,0,0,0,0
331.961,-45.1279,0,0,0,0
345.646,-63.5658,0,0,0,0
359.875,-82.2599,0,0,0,0
374.505,-101.792,0,0,0,0
389.389,-123.968,0,0,0,0
404.38,-135.712,0,0,0,0
419.327,-110.485,0,0,0,0
434.08,-90.2259,0,0,0,0
448.493,-71.2885,0,0,0,0
462.422,-52.7851,0,0,0,0
475.727,-34.3777,0,0,0,0
488.275,-15.9354,0,0,0,0
499.941,2.57092,0,0,0,0
510.609,21.1114,0,0,0,0
520.172,39.6184,0,0,0,0
528.533,57.9986,0,0,0,0
535.611,76.1399,0,0,0,0
541.333,93.9169,0,0,0,0
545.644,111.194,0,0,0,0
548.499,127.83,0,0,0,0
549.87,143.676,0,0,0,0
549.744,158.586,0,0,0,0
548.122,172.407,0,0,0,0
545.02,184.992,0,0,0,0
540.469,196.194,0,0,0,0
534.514,205.868,0,0,0,0
527.215,213.872,0,0,0,0
518.645,220.07,0,0,0,0
508.89,224.324,0,0,0,0
498.047,226.496,0,0,0,0
486.224,226.442,0,0,0,0
473.539,223.999,0,0,0,0
460.12,218.966,0,0,0,0
446.1,211.052,0,0,0,0
431.619,199.759,0,0,0,0
416.823,183.938,0,0,0,0
401.858,158.02,0,0,0,0
386.875,178.988,0,0,0,0
372.023,196.334,0,0,0,0
357.451,208.596,0,0,0,0
343.303,217.288,0,0,0,0
329.722,223.003,0,0,0,0
316.844,226.066,0,0,0,0
304.796,226.696,0,0,0,0
293.7,225.062,0,0,0,0
283.665,221.31,0,0,0,0
274.793,215.582,0,0,0,0
267.172,208.012,0,0,0,0
260.878,198.739,0,0,0,0
255.974,187.902,0,0,0,0
252.51,175.647,0,0,0,0
250.519,162.117,0,0,0,0
