P1, 337.730000, 20.843000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, Right, UnKnown, UnKnown, 1, -1, 1, 0,#....
P2, 337.580000, 20.758000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, Right, UnKnown, UnKnown, 1, -1, 1, 0,#....
P3, 337.230000, 20.499000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, Right, UnKnown, UnKnown, 1, -1, 1, 0,#....
P4, 337.050000, 20.336000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, Right, UnKnown, UnKnown, 1, -1, 1, 0,#....
P5, 336.920000, 20.184000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, Right, UnKnown, UnKnown, 1, -1, 1, 0,#....
P6, 335.870000, 18.156000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, Right, UnKnown, UnKnown, 1, -1, 1, 0,#....
P7, 335.180000, 16.207000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, Right, UnKnown, UnKnown, 1, -1, 1, 0,#....
P8, 334.530000, 14.309000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, Right, UnKnown, UnKnown, 1, -1, 1, 0,#....
P9, 333.950000, 12.404000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, Right, UnKnown, UnKnown, 1, -1, 1, 0,#....
P10, 333.260000, 10.233000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, Right, UnKnown, UnKnown, 1, -1, 1, 0,#....
P11, 332.610000, 7.689000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, Right, UnKnown, UnKnown, 1, -1, 1, 0,#....
P12, 332.100000, 5.428000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, Right, UnKnown, UnKnown, 1, -1, 1, 0,#....
